No,Name,Team,Position,Age,Bats,Salary
195,Max Stassi,LAA,C,31,R,3000000
196,Spencer Jones,NYY,RF,21,,2880800
197,Yandy Diaz,TB,3B,30,R,2800000
198,Dyan Jorge,COL,SS,19,,2800000
199,J.D. Davis,SF,3B,29,R,2760000
200,Austin Barnes,LAD,C,32,R,2750000
201,Chad Pinder,OAK,LF,30,R,2725000
202,Jorge Alfaro,SD,C,29,R,2725000
203,Oscar Colas,CHW,OF,23,,2700000
204,Julio Rodriguez,SEA,CF,21,R,2612500
205,Curt Casali,SEA,C,33,R,2600000
206,Albert Pujols,STL,DH,42,R,2600000
207,Christian Walker,ARI,1B,31,R,2600000
208,Luis Urias,MIL,2B,25,R,2550000
209,Nicky Lopez,KC,3B,27,L,2550000
210,Xavier Isaac,TB,1B,18,,2548900
211,David Bote,CHC,2B,29,R,2510000
212,Lazaro Montes,SEA,OF,0,,2500000
213,Roman Anthony,BOS,OF,18,,2500000
214,Drew Gilbert,HOU,CF,21,,2500000
215,Kevin Pillar,LAD,CF,33,R,2500000
216,Diego Benitez,ATL,SS,17,,2500000
217,Garrett Cooper,MIA,DH,31,R,2500000
218,Ramon Laureano,OAK,RF,27,R,2450000
219,Jacob Stallings,MIA,C,32,R,2450000
220,Sterlin Thompson,COL,RF,21,,2430500
221,Mikey Romero,BOS,SS,18,,2300000
222,Tony Kemp,OAK,2B,30,L,2250000
223,Luis Meza,TOR,C,0,,2250000
224,Ryan Reckley,SF,SS,0,,2200000
225,Dylan Beavers,BAL,RF,20,,2200000
226,Jordan Beck,COL,OF,21,,2200000
227,Javier Osorio,DET,SS,0,,2200000
228,Luis Arraez,MIN,2B,25,L,2125000
229,Cavan Biggio,TOR,2B,27,L,2122500
230,Sal Stewart,CIN,3B,18,,2097500
231,Eric Brown Jr.,MIL,2B,21,,2050000
232,William Bergolla Jr.,PHI,SS,0,,2050000
233,Anthony Gutierrez,TEX,OF,0,,2000000
234,Henry Bolte,OAK,OF,18,,2000000
235,Victor Caratini,MIL,C,28,,2000000
236,Matt Carpenter,NYY,3B,36,L,2000000
237,Adam Engel,CHW,RF,30,R,2000000
238,Tucker Toman,TOR,2B,18,,2000000
239,Dalton Rushing,LAD,C,21,,1959390
240,Kevin Newman,PIT,SS,28,R,1950000
241,Danny Jansen,TOR,C,27,R,1950000
242,Rowdy Tellez,MIL,1B,27,L,1940000
243,Max Wagner,BAL,3B,20,,1900000
244,Simon Juan,NYM,OF,0,,1900000
245,Garrett Hampson,COL,SS,27,R,1862500
246,Cutter Coffey,BOS,3B,18,,1850000
247,Austin Slater,SF,CF,29,R,1850000
248,Jace Peterson,MIL,3B,32,L,1825000
249,Peyton Graham,DET,3B,21,,1800000
250,Ben Gamel,PIT,LF,30,L,1800000
251,Nelson Rada,LAA,OF,0,,1800000
252,Charlie Culberson,TEX,3B,33,R,1750000
253,Kurt Suzuki,LAA,C,38,R,1750000
254,Yasser Mercedes,MIN,OF,0,,1700000
255,Braylin Tavera,BAL,OF,0,,1700000
256,Cayden Wallace,KC,3B,20,,1700000
257,Victor Robles,WSH,CF,25,R,1650000
258,Myles Straw,CLE,CF,27,R,1650000
259,Orlando Arcia,ATL,2B,27,R,1600000
