No,Name,Team,Position,Age,Throws,Salary
807,Marcelo Perez,SEA,P,22,,125000
808,Troy Taylor,SEA,P,20,,125000
809,Nick Bautista III,TEX,P,20,,125000
810,Jackson Kelley,TEX,P,22,,125000
811,Andrew Owen,TEX,P,20,,125000
812,Justin Sanchez,TEX,P,18,,125000
813,Joey Mancini,HOU,P,21,,125000
814,Magnus Ellerts,CLE,P,21,,125000
815,Jared Karros,LAD,P,21,,125000
816,Zach Jacobs,CLE,P,20,,125000
817,Payton Martin,LAD,P,18,,125000
818,Jack Jasiak,CLE,P,21,,125000
819,Jacob Meador,LAD,P,21,,125000
820,Austin Peterson,CLE,P,22,,125000
821,Javier Santos,CLE,RP,19,,125000
822,Adam Tulloch,CLE,P,21,,125000
823,Willian Colmenares,BOS,P,0,,125000
824,Mark Adamiak,OAK,P,21,,125000
825,T.J. Czyz,OAK,P,21,,125000
826,Micah Dallas,OAK,P,22,,125000
827,Jake Pfennigs,OAK,P,22,,125000
828,Tyler Vogel,SF,P,21,,125000
829,Marquis Grissom Jr.,WSH,P,20,,125000
830,Bubba Hall,WSH,P,22,,125000
831,Will Childers,MIL,P,21,,125000
832,Chazz Martinez,KC,P,22,,125000
833,Alex Cook,TB,P,21,,125000
834,Cooper McKeehan,KC,P,21,,125000
835,Aidan Maldonado,MIL,P,22,,125000
836,Ryan Ramsey,KC,P,21,,125000
837,Brad Lord,WSH,P,22,,125000
838,Ben Sears,KC,P,22,,125000
839,Kyle Luckham,WSH,P,22,,125000
840,Jordan Woods,KC,P,0,,125000
841,Cameron Wagoner,MIL,P,21,,125000
842,Nick Altermatt,CHW,P,22,,125000
843,Jared Beck,BAL,P,21,,125000
844,Bradley Brehmer,BAL,P,22,,125000
845,Shane Murphy,CHW,P,21,,125000
846,Alex Williams,MIA,P,22,,125000
847,Blake Adams,COL,P,21,,125000
848,Caleb Franzen,COL,P,21,,125000
849,Reese Sharp,BAL,P,21,,125000
850,Tyler Hoffman,COL,P,22,,125000
851,Braxton Hyde,COL,P,21,,125000
852,Thomas Balboni Jr.,SD,P,21,,125000
853,Austin Krob,SD,P,22,,125000
854,Henry Martinez,SD,P,18,,125000
855,Kris Bow,NYY,P,21,,125000
856,Geoffrey Gilbert,NYY,P,21,,125000
857,Matt Keating,NYY,P,21,,122500
858,Devereaux Harrison,TOR,P,21,,122500
859,Tyler Guilfoil,HOU,P,22,,122500
860,Jaret Godman,BOS,P,22,,122500
861,Marques Johnson,BOS,P,21,,122500
862,Cade Halemanu,TB,P,21,,122500
863,Nathan Landry,BOS,P,23,,112500
864,Ian Mejia,ATL,P,22,,100000
865,Ben Thompson,ATL,RP,24,,100000
866,D.J. Carpenter,STL,P,22,,100000
867,Hunter Hayes,STL,P,21,,100000
868,Trey Braithwaite,CIN,P,24,,100000
869,Jared Lyons,CIN,P,21,,100000
870,Elijah Birdsong,PIT,P,22,,100000
871,Eli Ankeney,NYM,P,21,,100000
872,Logan Clayton,ARI,P,22,,100000
873,Brandon Schaeffer,SEA,P,22,,100000
874,Jake Garland,OAK,P,21,,100000
875,Vince Reilly,OAK,P,21,,100000
876,Ethan Hammerberg,CHW,P,21,,100000
877,Billy Seidl,CHW,P,22,,100000
878,Brian Fitzpatrick,MIL,P,22,,100000
879,Ike Buxton,MIA,P,21,,100000
880,Tyler Woessner,MIL,P,22,,100000
881,Austin Becker,COL,P,22,,100000
882,Carson Skipper,COL,P,22,,100000
883,Carlos Torres,COL,P,21,,100000
884,Brett Gillis,HOU,P,22,,97500
885,Hayden Mullins,BOS,P,21,,97500
886,Garrett Ramsey,BOS,P,22,,97500
